"nationality","birthcity","player_cnt"
"CAN","Toronto","67"
"CAN","Edmonton","50"
"CAN","Calgary","37"
"CAN","Montreal","31"
"SWE","Stockholm","30"
"CAN","Winnipeg","27"
"CAN","Ottawa","26"
"CAN","Mississauga","24"
"CAN","Regina","23"
"RUS","Moscow","21"
"CAN","Saskatoon","20"
"CAN","London","20"
"CAN","Hamilton","18"
"USA","Boston","16"
"CAN","Vancouver","15"
"CAN","Oakville","13"
"FIN","Helsinki","13"
"CAN","Thunder Bay","13"
"USA","Minneapolis","13"
"CAN","Laval","12"
"CAN","Richmond Hill","12"
"SWE","Gothenburg","12"
"USA","Pittsburgh","12"
"CAN","Windsor","12"
"USA","Rochester","11"
"USA","St. Louis","11"
"CAN","Kitchener","11"
"USA","Chicago","10"
"CAN","Brampton","10"
"CZE","Prague","10"
"USA","Anchorage","10"
"USA","Buffalo","9"
"USA","Detroit","9"
"CAN","Brandon","9"
"CAN","Kingston","9"
"FIN","Turku","8"
"CAN","Halifax","8"
"CAN","Sault Ste. Marie","8"
"USA","Madison","8"
"CAN","Belleville","8"
"SWE","Gävle","8"
"RUS","Chelyabinsk","8"
"SWE","Skellefteå","8"
"CAN","Burnaby","8"
"FIN","Vantaa","7"
"USA","Denver","7"
"USA","Bloomington","7"
"USA","Edina","7"
"LVA","Riga","7"
"CAN","Sudbury","7"
"CAN","Welland","7"
"CAN","Markham","7"
"CAN","Abbotsford","7"
"USA","Ann Arbor","7"
"CZE","Kladno","6"
"CAN","Scarborough","6"
"CAN","Victoria","6"
"CAN","Lloydminster","6"
"CAN","Richmond","6"
"CAN","St. Albert","6"
"USA","Livonia","6"
"CAN","North Vancouver","6"
"CAN","Burlington","5"
"CZE","Plzen","5"
"USA","Eden Prairie","5"
"DNK","Herning","5"
"USA","Grand Rapids","5"
"FIN","Kuopio","5"
"SVK","Kosice","5"
"FIN","Pori","5"
"CAN","Peterborough","5"
"USA","Burnsville","5"
"CAN","Sherbrooke","5"
"CAN","St. Catharines","5"
"SWE","Sodertalje","5"
"USA","Los Angeles","5"
"RUS","Yaroslavl","5"
"USA","Long Beach","5"
"CAN","Newmarket","5"
"USA","St. Paul","5"
"USA","Duluth","5"
"FIN","Tampere","5"
"USA","Syracuse","5"
"CAN","Quebec City","5"
"CAN","Cambridge","5"
"CHE","Bern","5"
"CAN","Red Deer","5"
"CAN","Strathroy","4"
"USA","Hartford","4"
"CAN","Brantford","4"
"USA","Moorhead","4"
"CAN","Barrie","4"
"CAN","LaSalle","4"
"CAN","Vernon","4"
"USA","Trenton","4"
"SWE","Vasteras","4"
"USA","Canton","4"
"CAN","Trail","4"
"CAN","Charlottetown","4"
"USA","Lakeville","4"
"SWE","Karlstad","4"
"SWE","Ornskoldsvik","4"
"FIN","Savonlinna","4"
"CAN","Prince George","4"
"RUS","Togliatti","4"
"USA","Milwaukee","4"
"CAN","Pointe-Claire","4"
"RUS","Nizhnekamsk","4"
"FIN","Oulu","4"
"CAN","Greenfield Park","4"
"CAN","Longueuil","4"
"CAN","Surrey","4"
"USA","Cleveland","4"
"CAN","North York","4"
"CAN","Summerside","4"
"CAN","Whitby","4"
"CAN","Lethbridge","4"
"USA","Spokane","4"
