player_id,firstName,lastName,nationality,birthCity,birthDate,birthMonth,birthMonthName
8467412,Alexei,Ponikarovsky,UKR,Kiev,1980-04-09,4,April
8468501,Anton,Volchenkov,RUS,Moscow,1982-02-25,2,February
8459670,Kimmo,Timonen,FIN,Kuopio,1975-03-18,3,March
8471233,Travis,Zajac,CAN,Winnipeg,1985-05-13,5,May
8455710,Martin,Brodeur,CAN,Montreal,1972-05-06,5,May
8475640,Erik,Gustafsson,SWE,Kvissleby,1988-12-15,12,December
8476177,Matt,Read,CAN,Ilderton,1986-06-14,6,June
8464977,Dainius,Zubrus,LTU,Elektrenai,1978-06-16,6,June
8474190,Wayne,Simmonds,CAN,Scarborough,1988-08-26,8,August
8464975,Daniel,Briere,CAN,Gatineau,1977-10-06,10,October
8468534,Andreas,Lilja,SWE,Helsingborg,1975-07-13,7,July
8475603,Ben,Holmstrom,USA,Colorado Springs,1987-04-09,4,April
8472410,Stephen,Gionta,USA,Rochester,1983-10-09,10,October
8474037,James,van Riemsdyk,USA,Middletown,1989-05-04,5,May
8473542,Tom,Sestito,USA,Rome,1987-09-28,9,September
8476457,Adam,Larsson,SWE,Skellefteå,1992-11-12,11,November
8474631,Marc-Andre,Bourdon,CAN,St-Hyacinthe,1989-09-17,9,September
8472382,Andy,Greene,USA,Trenton,1982-10-30,10,October
8474641,Adam,Henrique,CAN,Brantford,1990-02-06,2,February
8474161,Jakub,Voracek,CZE,Kladno,1989-08-15,8,August
8475972,Tyler,Brown,CAN,Wasaga Beach,1990-02-07,2,February
8476461,Sean,Couturier,CAN,Phoenix,1992-12-07,12,December
8460720,Eric,Boulton,CAN,Halifax,1976-08-17,8,August
8469454,Ilya,Kovalchuk,RUS,Tver,1983-04-15,4,April
8475170,Brayden,Schenn,CAN,Saskatoon,1991-08-22,8,August
8468524,Ilya,Bryzgalov,RUS,Togliatti,1980-06-22,6,June
8470609,Steve,Bernier,CAN,Quebec City,1985-03-31,3,March
8465210,Pavel,Kubina,CZE,Celadna,1977-04-15,4,April
8471816,Mark,Fayne,USA,Nashua,1987-05-15,5,May
8468486,Scott,Hartnell,CAN,Regina,1982-04-18,4,April
8470123,Cam,Janssen,USA,St. Louis,1984-04-15,4,April
8470640,Matt,Carle,USA,Anchorage,1984-09-25,9,September
8473512,Claude,Giroux,CAN,Hearst,1988-01-12,1,January
8475775,Tye,McGinn,CAN,Fergus,1990-07-29,7,July
8470920,David,Clarkson,CAN,Toronto,1984-03-31,3,March
8470601,Braydon,Coburn,CAN,Shaunavon,1985-02-27,2,February
8475342,Oliver,Lauridsen,DNK,Gentofte,1989-03-24,3,March
8470171,Max,Talbot,CAN,Lemoyne,1984-02-11,2,February
8474892,Eric,Wellwood,CAN,Windsor,1990-03-06,3,March
8476158,Harry,Zolnierczyk,CAN,Toronto,1987-09-01,9,September
8475185,Jacob,Josefson,SWE,Stockholm,1991-03-02,3,March
8472394,Peter,Harrold,USA,Kirtland Hills,1983-06-08,6,June
8462535,Jody,Shelley,CAN,Thompson,1976-02-07,2,February
8448208,Jaromir,Jagr,CZE,Kladno,1972-02-15,2,February
8469623,Marek,Zidlicky,CZE,Most,1977-02-03,2,February
8468038,Michael,Leighton,CAN,Petrolia,1981-05-19,5,May
8474736,Zac,Rinaldo,CAN,Mississauga,1990-06-15,6,June
8473646,Ryan,Carter,USA,White Bear Lake,1983-08-03,8,August
8471269,Nicklas,Grossmann,SWE,Stockholm,1985-01-22,1,January
8471467,Matthew,Ford,USA,West Hills,1984-10-09,10,October
8470610,Zach,Parise,USA,Minneapolis,1984-07-28,7,July
8475430,Brandon,Manning,CAN,Prince George,1990-06-04,6,June
8460626,Bryce,Salvador,CAN,Brandon,1976-02-11,2,February
8460465,Petr,Sykora,CZE,Plzen,1976-11-19,11,November
8460542,Patrik,Elias,CZE,Trebic,1976-04-13,4,April
8471636,Tim,Sestito,USA,Rome,1984-08-28,8,August
8476209,Mike,Sislo,USA,Superior,1988-01-20,1,January
8471712,Jeff,Frazee,USA,Edina,1987-05-13,5,May
8471236,Andrej,Meszaros,SVK,Povazská Bystrica,1985-10-13,10,October
8473580,Matthew,Corrente,CAN,Mississauga,1988-03-17,3,March
8471365,Steven,Zalewski,USA,Utica,1986-08-20,8,August
8473944,Matt,Anderson,USA,West Islip,1982-10-31,10,October
8475248,Alexander,Urbom,SWE,Stockholm,1990-12-20,12,December
8473592,Vladimir,Zharkov,RUS,Elektrostal,1988-01-10,1,January
