player_cnt,nationality,birthcity,city_ascii,iso3,latitude,longitude
5,USA,Los Angeles                                  ,Los Angeles                        ,USA,34.1139,-118.4068
21,RUS,Moscow                                       ,Moscow                             ,RUS,55.7522,37.6155
1,FRA,Paris                                        ,Paris                              ,FRA,48.8667,2.3333
10,USA,Chicago                                      ,Chicago                            ,USA,41.8373,-87.6862
2,USA,Philadelphia                                 ,Philadelphia                       ,USA,40.0077,-75.1339
2,USA,Washington                                   ,Washington                         ,USA,38.9047,-77.0163
67,CAN,Toronto                                      ,Toronto                            ,CAN,43.7,-79.42
16,USA,Boston                                       ,Boston                             ,USA,42.3188,-71.0846
1,USA,Phoenix                                      ,Phoenix                            ,USA,33.5722,-112.0891
31,CAN,Montreal                                     ,Montreal                           ,CAN,45.5,-73.5833
1,USA,San Francisco                                ,San Francisco                      ,USA,37.7562,-122.443
9,USA,Detroit                                      ,Detroit                            ,USA,42.3834,-83.1024
1,DEU,Berlin                                       ,Berlin                             ,DEU,52.5218,13.4015
2,USA,San Diego                                    ,San Diego                          ,USA,32.8312,-117.1225
13,USA,Minneapolis                                  ,Minneapolis                        ,USA,44.9635,-93.2678
7,USA,Denver                                       ,Denver                             ,USA,39.7621,-104.8759
1,USA,Brooklyn                                     ,Brooklyn                           ,USA,40.6501,-73.9496
2,AUT,Vienna                                       ,Vienna                             ,AUT,48.2,16.3666
1,DEU,Mannheim                                     ,Mannheim                           ,DEU,49.5004,8.47
15,CAN,Vancouver                                    ,Vancouver                          ,CAN,49.2734,-123.1216
1,USA,Riverside                                    ,Riverside                          ,USA,33.9381,-117.3948
11,USA,St. Louis                                    ,St. Louis                          ,USA,38.6358,-90.2451
1,BLR,Minsk                                        ,Minsk                              ,BLR,53.9,27.5666
4,USA,Cleveland                                    ,Cleveland                          ,USA,41.4767,-81.6805
12,USA,Pittsburgh                                   ,Pittsburgh                         ,USA,40.4396,-79.9763
1,USA,Kansas City                                  ,Kansas City                        ,USA,39.1239,-94.5541
2,USA,Indianapolis                                 ,Indianapolis                       ,USA,39.7771,-86.1458
1,USA,Columbus                                     ,Columbus                           ,USA,39.986,-82.9851
1,USA,Charlotte                                    ,Charlotte                          ,USA,35.2079,-80.8304
4,USA,Milwaukee                                    ,Milwaukee                          ,USA,43.0642,-87.9673
1,RUS,Yekaterinburg                                ,Yekaterinburg                      ,RUS,56.85,60.6
1,DEU,Munich                                       ,Munich                             ,DEU,48.1299,11.575
30,SWE,Stockholm                                    ,Stockholm                          ,SWE,59.3508,18.0973
1,DEU,Dusseldorf                                   ,Dusseldorf                         ,DEU,51.2204,6.78
10,CZE,Prague                                       ,Prague                             ,CZE,50.0833,14.466
1,USA,Jacksonville                                 ,Jacksonville                       ,USA,30.3322,-81.6749
26,CAN,Ottawa                                       ,Ottawa                             ,CAN,45.4167,-75.7
1,RUS,Samara                                       ,Samara                             ,RUS,53.195,50.1513
2,RUS,Omsk                                         ,Omsk                               ,RUS,54.99,73.4
13,FIN,Helsinki                                     ,Helsinki                           ,FIN,60.1756,24.9341
37,CAN,Calgary                                      ,Calgary                            ,CAN,51.083,-114.08
1,CHE,Zurich                                       ,Zurich                             ,CHE,47.38,8.55
3,USA,Salt Lake City                               ,Salt Lake City                     ,USA,40.7774,-111.93
8,RUS,Chelyabinsk                                  ,Chelyabinsk                        ,RUS,55.155,61.4387
50,CAN,Edmonton                                     ,Edmonton                           ,CAN,53.55,-113.5
1,NLD,Amsterdam                                    ,Amsterdam                          ,NLD,52.35,4.9166
1,USA,Raleigh                                      ,Raleigh                            ,USA,35.8324,-78.6438
1,RUS,Ufa                                          ,Ufa                                ,RUS,54.79,56.04
1,DEU,Cologne                                      ,Cologne                            ,DEU,50.93,6.95
1,NOR,Oslo                                         ,Oslo                               ,NOR,59.9167,10.75
7,LVA,Riga                                         ,Riga                               ,LVA,56.95,24.1
1,HRV,Zagreb                                       ,Zagreb                             ,HRV,45.8,16
1,SVK,Bratislava                                   ,Bratislava                         ,SVK,48.15,17.117
5,CHE,Bern                                         ,Bern                               ,CHE,46.9167,7.467
1,USA,Oklahoma City                                ,Oklahoma City                      ,USA,35.4676,-97.5137
9,USA,Buffalo                                      ,Buffalo                            ,USA,42.9017,-78.8487
